"","con_threshold","cov_threshold","noise_level","frag_ratio","prevalence","factors","low_contr_AND_correct","high_contr_AND_correct","low_contr_AND_complx","high_contr_AND_complx","low_contr_AND_complete","high_contr_AND_complete","low_contr_AND_nct","high_contr_AND_nct","high_contr_AND_ratio","base_correct","base_complx","base_complete","base_nct","GT_complx","low_corr_sd","high_corr_sd","low_complx_sd","high_complx_sd","low_complete_sd","high_complete_sd","base_corr_sd","base_complx_sd","base_complete_sd","nrow","few_csfs","all_high_contr_AND","all_low_contr_AND","n_low_contr_complx","n_high_contr_complx","GT_high_complx","GT_low_complx"
"56",0.85,0.75,-99,-99,0.75,7,0.278756514292825,0.895393374741201,0.317971892470332,0.525798786900482,0.00125641354822755,0.21583850931677,5.76633399220367,2.86739130434783,0.00107389366260113,0.279550883682963,0.318878028805456,0.00165015160666838,5.76134140348279,8.04281596541095,0.318372688311968,0.291283906422597,0.194325662074911,0.344010455856652,0.0291257122540242,0.409198074509393,0.318571264487543,0.196034274089773,0.0342002705656733,49958,42,29,49636,47877,295,6.18012422360248,8.04544453123435
"57",0.7,0.8,-99,-99,0.75,7,0.404133979747777,0.998987854251012,0.255770462848588,0.228613123901878,9.65343531983831e-05,0.0313765182186235,2.17485054530004,1.09210526315789,0.00165627396237753,0.405342415411316,0.255594411771625,0.000127583934620164,2.17344489024186,8.04282171286851,0.224151717634199,0.0318142381487889,0.0990395911279432,0.175838152312311,0.0022024821419579,0.174421399649663,0.223245338600001,0.100035593400658,0.00258035881065558,49998,2,1,49010,49923,987,6.11133603238866,8.04282256935416
"58",0.75,0.8,-99,-99,0.75,7,0.511284073249427,1,0.253359923976357,0.239122417941246,0.000238665472572266,0.0515097690941385,2.10685835874387,1.05683836589698,0.00147889124098397,0.512337936815204,0.253363062052777,0.000301987610160344,2.10535614654584,8.04282342587407,0.237843372690404,0,0.100687773869946,0.201299988183469,0.00522293662210418,0.221231657044764,0.236795627969305,0.101802515397186,0.00588192076866024,49996,4,0,49433,49884,563,5.93250444049734,8.04282342587407
"59",0.8,0.8,-99,-99,0.75,7,0.497201621921339,0.99290780141844,0.267205247642513,0.297065067868639,0.000568537487388422,0.124113475177305,3.22207973485652,1.22695035460993,0.0012723749977091,0.498011859373604,0.26743225464112,0.000706813295874105,3.21933425704154,8.04282342587407,0.306925727020624,0.0840652094549263,0.119457100592728,0.279982073872117,0.0163167103071526,0.330297118312916,0.306329378189337,0.120870801221024,0.0179769362526539,49996,4,4,49714,49432,280,5.74468085106383,8.04316690670507
"60",0.85,0.8,-99,-99,0.75,7,0.286436732180204,0.894517543859649,0.351073167397286,0.551297393083107,0.00153842700076168,0.235745614035088,5.68803695872356,3.01059941520468,0.00102779492204739,0.287212184831839,0.351739838432728,0.00185996924583194,5.68307538295854,8.04134968586282,0.320334665867909,0.289513932930611,0.198214838245367,0.345612436226623,0.0333096572183938,0.423126465122765,0.320565680016726,0.19943449662582,0.0368697552515773,49819,181,30,49591,45644,210,6.05701754385965,8.04370443270602
"61",0.7,0.85,-99,-99,0.75,7,0.387347896569622,1,0.272269960922708,0.237889112713056,6.6506376306427e-05,0.0352112676056338,2.37731878606091,1.13615023474178,0.000733782421759589,0.38788548016228,0.272153748889908,8.36128528746132e-05,2.37650103590105,8.04282256935416,0.222474181807088,0,0.0978839206375449,0.187723901001185,0.00185098189689823,0.184530124981488,0.222136083489087,0.0983774479183014,0.00213838168476462,49997,3,0,49571,49794,426,6.2112676056338,8.04282256935416
"62",0.75,0.85,-99,-99,0.75,7,0.501600439321622,1,0.269535699890663,0.247965475754732,0.000179011201178881,0.0578512396694215,2.28893728338634,1.08264462809917,0.000689228648991746,0.502078513286206,0.269499761779824,0.000211781943606396,2.28812580887212,8.04282342587407,0.23555364599919,0,0.100330170857874,0.214149502571572,0.00470525721945238,0.233945791541971,0.235125526586365,0.100858838694904,0.0051093534245916,49996,4,0,49754,49733,242,5.99173553719008,8.04282342587407
"63",0.8,0.85,-99,-99,0.75,7,0.501769173189907,0.988888888888889,0.287701270257512,0.308786404308792,0.000596554535534293,0.103703703703704,3.324581088048,1.32592592592593,0.000682848165904717,0.502211959098311,0.287740960845521,0.00069282275437238,3.3231799034431,8.042805992839,0.314422286065628,0.0959373759256656,0.121404278171857,0.27705100394455,0.0193229941623946,0.30601126879246,0.31410651670418,0.121982904904165,0.0207424267088134,49993,7,4,49858,48723,134,5.76296296296296,8.0431694972894
"64",0.85,0.85,-99,-99,0.75,7,0.277752408858769,0.825128205128205,0.37768250998529,0.563111020923521,0.00136727574241217,0.21025641025641,5.71709654045659,3.52717948717949,0.000741530601025649,0.278322150491759,0.378074385284513,0.00157329096454765,5.71380568364684,8.03972043316605,0.323510204594235,0.362094146880607,0.193737070573057,0.344836086092386,0.0317272826672721,0.402165673795128,0.323767360163567,0.194466541163865,0.0343354155192153,49219,781,25,49089,39589,112,6.31538461538462,8.04148879944709
"65",0.7,0.7,-99,-99,0.8,7,0.33205667484452,0.996875,0.223624229793828,0.213850867001337,7.6082790909122e-05,0.02625,1.97735699871469,1.05317473344557,0.00205636949188295,0.333589329100198,0.223715309218649,0.000103225883507049,1.97584894887785,8.0428,0.200207321073093,0.0558317348300573,0.0903524791904773,0.161337814735233,0.00161218739716231,0.159927868356091,0.19925837345848,0.0923098843580907,0.00188047339944686,50000,0,1,48400,49943,1595,6.19125,8.04280085601712
